DATE,TIME,LAT,,LON,,POWER(V),TEMP(C),#FILES,MIC0 TYPE,MIC1 TYPE 
2024-Jan-17,23:41:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-17,23:51:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:01:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:11:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:21:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:31:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:41:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,00:51:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:01:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:11:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:21:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:31:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:41:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,01:51:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,02:01:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,02:11:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,02:21:00,-22.93806,s,50.84900,w,5.4,24.50,1,IN,IN 
2024-Jan-18,02:31:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,02:41:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,02:51:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,03:01:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,03:11:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,03:21:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,03:31:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,03:41:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,03:51:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,04:01:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,04:11:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,04:21:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,04:31:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,04:41:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,04:51:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,05:01:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,05:11:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,05:21:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,05:31:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,05:41:00,-22.93806,s,50.84900,w,5.5,24.00,1,IN,IN 
2024-Jan-18,05:51:00,-22.93806,s,50.84900,w,5.5,24.00,1,IN,IN 
2024-Jan-18,06:01:00,-22.93806,s,50.84900,w,5.5,24.00,1,IN,IN 
2024-Jan-18,06:11:00,-22.93806,s,50.84900,w,5.5,24.00,1,IN,IN 
2024-Jan-18,06:21:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,06:31:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,06:41:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,06:51:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,07:01:00,-22.93806,s,50.84900,w,5.5,24.00,1,IN,IN 
2024-Jan-18,07:11:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,07:21:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,07:31:00,-22.93806,s,50.84900,w,5.5,24.25,1,IN,IN 
2024-Jan-18,07:41:00,-22.93806,s,50.84900,w,5.5,24.50,1,IN,IN 
2024-Jan-18,07:51:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,08:01:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,08:11:00,-22.93806,s,50.84900,w,5.5,24.75,1,IN,IN 
2024-Jan-18,08:21:00,-22.93806,s,50.84900,w,5.5,25.00,1,IN,IN 
2024-Jan-18,08:31:00,-22.93806,s,50.84900,w,5.5,25.25,1,IN,IN 
2024-Jan-18,08:41:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-18,08:51:00,-22.93806,s,50.84900,w,5.5,25.50,1,IN,IN 
2024-Jan-18,09:01:00,-22.93806,s,50.84900,w,5.5,25.75,1,IN,IN 
2024-Jan-18,09:11:00,-22.93806,s,50.84900,w,5.5,26.00,1,IN,IN 
2024-Jan-18,09:21:00,-22.93806,s,50.84900,w,5.5,26.25,1,IN,IN 
2024-Jan-18,09:31:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-18,09:41:00,-22.93806,s,50.84900,w,5.5,26.75,1,IN,IN 
2024-Jan-18,09:51:00,-22.93806,s,50.84900,w,5.5,27.00,1,IN,IN 
2024-Jan-18,10:01:00,-22.93806,s,50.84900,w,5.5,27.25,1,IN,IN 
2024-Jan-18,10:11:00,-22.93806,s,50.84900,w,5.5,27.50,1,IN,IN 
2024-Jan-18,10:21:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-18,10:31:00,-22.93806,s,50.84900,w,5.5,27.75,1,IN,IN 
2024-Jan-18,10:41:00,-22.93806,s,50.84900,w,5.5,28.00,1,IN,IN 
2024-Jan-18,10:51:00,-22.93806,s,50.84900,w,5.5,28.00,1,IN,IN 
2024-Jan-18,11:01:00,-22.93806,s,50.84900,w,5.5,28.25,1,IN,IN 
2024-Jan-18,11:11:00,-22.93806,s,50.84900,w,5.5,28.75,1,IN,IN 
2024-Jan-18,11:21:00,-22.93806,s,50.84900,w,5.5,29.00,1,IN,IN 
2024-Jan-18,11:31:00,-22.93806,s,50.84900,w,5.4,29.25,1,IN,IN 
2024-Jan-18,11:41:00,-22.93806,s,50.84900,w,5.5,29.50,1,IN,IN 
2024-Jan-18,11:51:00,-22.93806,s,50.84900,w,5.5,29.75,1,IN,IN 
2024-Jan-18,12:01:00,-22.93806,s,50.84900,w,5.5,29.75,1,IN,IN 
2024-Jan-18,12:11:00,-22.93806,s,50.84900,w,5.5,30.25,1,IN,IN 
2024-Jan-18,12:21:00,-22.93806,s,50.84900,w,5.5,30.50,1,IN,IN 
2024-Jan-18,12:31:00,-22.93806,s,50.84900,w,5.5,30.75,1,IN,IN 
2024-Jan-18,12:41:00,-22.93806,s,50.84900,w,5.5,31.00,1,IN,IN 
2024-Jan-18,12:51:00,-22.93806,s,50.84900,w,5.4,31.00,1,IN,IN 
2024-Jan-18,13:01:00,-22.93806,s,50.84900,w,5.5,31.25,1,IN,IN 
2024-Jan-18,13:11:00,-22.93806,s,50.84900,w,5.5,31.50,1,IN,IN 
2024-Jan-18,13:21:00,-22.93806,s,50.84900,w,5.5,31.50,1,IN,IN 
2024-Jan-18,13:31:00,-22.93806,s,50.84900,w,5.5,32.00,1,IN,IN 
2024-Jan-18,13:41:00,-22.93806,s,50.84900,w,5.5,32.50,1,IN,IN 
2024-Jan-18,13:51:00,-22.93806,s,50.84900,w,5.5,32.75,1,IN,IN 
2024-Jan-18,14:01:00,-22.93806,s,50.84900,w,5.5,33.00,1,IN,IN 
2024-Jan-18,14:11:00,-22.93806,s,50.84900,w,5.5,33.50,1,IN,IN 
